"Number_of_Vehicles","Accident_Date","Time_24hr_","First_Road_Class","Road_Surface","Lighting_Conditions","Weather_Conditions","Type_of_Vehicle","Casualty_Class","Casualty_Severity","Sex_of_Casualty","Age_of_Casualty"
2,2016-10-08,"11:53","B","Wet/Damp",1,1,9,2,3,2,29
2,2016-10-08,"11:53","B","Wet/Damp",1,1,9,2,3,2,25
2,2016-10-15,"16:05","A","Dry",1,1,9,1,3,1,86
2,2016-10-16,"18:21","A","Dry",1,1,9,1,3,2,22
2,2016-10-16,"18:21","A","Dry",1,1,9,2,3,2,24
1,2016-10-18,"13:35","A","Wet/Damp",1,2,9,3,3,1,51
2,2016-10-18,"17:40","M","Dry",1,1,9,1,3,1,48
2,2016-10-18,"19:05","U","Wet/Damp",4,1,9,2,3,2,10
2,2016-10-18,"19:05","U","Wet/Damp",4,1,9,2,3,2,32
2,2016-10-19,"19:15","U","Dry",4,1,8,2,3,2,20
2,2016-10-21,"12:16","A","Dry",1,1,9,1,3,1,72
1,2016-10-22,"09:30","A","Dry",1,1,9,1,3,2,78
2,2016-10-26,"07:39","A","Dry",1,1,1,1,2,1,46
1,2016-10-26,"10:12","U","Dry",1,1,9,1,3,2,79
1,2016-10-26,"11:25","U","Wet/Damp",1,1,9,1,3,2,49
2,2016-10-26,"17:00","A","Dry",1,1,4,1,3,1,33
4,2016-10-27,"17:35","M","Dry",1,1,9,2,3,1,NA
4,2016-10-27,"17:35","M","Dry",1,1,9,1,3,2,20
1,2016-10-26,"21:50","U","Dry",4,1,9,3,3,1,40
1,2016-10-28,"13:00","U","Dry",1,1,19,3,3,1,25
2,2016-10-31,"17:40","U","Dry",1,1,11,2,3,1,64
1,2016-10-31,"18:00","A","Dry",4,1,9,3,3,1,27
2,2016-11-02,"22:50","A","Wet/Damp",4,1,9,2,3,2,52
2,2016-11-04,"07:26","B","Dry",1,1,3,1,2,1,21
2,2016-11-04,"10:00","U","Dry",1,1,9,1,3,2,41
2,2016-11-04,"13:40","M","Dry",1,1,9,1,3,1,44
1,2016-10-27,"09:00","U","Dry",1,1,9,3,3,2,74
3,2016-11-09,"05:40","M","Snow",4,3,8,1,3,1,58
2,2016-11-10,"16:10","U","Wet/Damp",1,1,9,3,3,2,36
1,2016-11-10,"18:05","A","Wet/Damp",4,1,9,3,3,2,22
2,2016-11-10,"12:45","A","Dry",1,1,9,2,3,2,82
2,2016-11-10,"14:20","U","Dry",1,1,9,1,3,2,25
1,2016-11-12,"12:50","M","Wet/Damp",1,1,9,1,3,2,38
2,2016-11-12,"23:30","A","Dry",4,1,9,2,3,1,15
2,2016-11-12,"23:30","A","Dry",4,1,9,1,3,2,19
2,2016-11-14,"17:17","A","Wet/Damp",4,1,1,1,3,1,54
2,2016-11-14,"18:58","U","Wet/Damp",4,1,9,1,3,1,50
2,2016-11-14,"18:58","U","Wet/Damp",4,1,9,1,3,2,22
2,2016-11-16,"12:05","A","Wet/Damp",1,1,1,1,3,1,24
2,2016-11-20,"14:40","M","Dry",1,1,9,1,3,1,48
2,2016-11-20,"14:40","M","Dry",1,1,9,2,3,2,49
2,2016-11-20,"14:40","M","Dry",1,1,9,2,3,2,17
2,2016-11-21,"07:20","U","Wet/Damp",4,2,3,1,3,1,26
1,2016-11-21,"18:00","U","Wet/Damp",4,5,9,3,3,2,24
2,2016-11-21,"14:54","A","Dry",7,1,9,1,3,2,47
2,2016-11-21,"14:54","A","Dry",7,1,9,2,3,2,16
3,2016-11-24,"11:23","A","Dry",1,1,9,1,3,2,30
1,2016-11-25,"17:30","A","Dry",4,1,9,3,3,2,33
1,2016-11-26,"17:26","B","Dry",1,1,9,3,3,1,69
2,2016-11-26,"14:30","A","Dry",1,1,1,1,3,1,41
3,2016-11-28,"14:00","A","Dry",1,1,5,1,3,1,61
2,2016-11-23,"17:00","A","Dry",4,1,9,1,3,2,81
1,2016-11-29,"05:39","A","Wet/Damp",4,1,21,3,2,2,52
1,2016-11-29,"14:15","A","Dry",1,1,9,1,3,1,87
1,2016-11-29,"14:15","A","Dry",1,1,9,2,2,2,87
1,2016-11-28,"15:30","U","Dry",1,1,90,3,3,1,39
3,2016-11-29,"16:29","A","Dry",1,1,19,1,3,1,48
3,2016-11-29,"16:29","A","Dry",1,1,19,1,3,1,40
1,2016-11-30,"11:28","A","Dry",1,1,9,3,2,2,82
2,2016-11-30,"13:12","A","Wet/Damp",1,1,19,1,3,1,66
3,2016-11-30,"16:25","M","Wet/Damp",4,1,9,1,3,1,45
2,2016-12-01,"16:50","U","Dry",4,1,1,1,3,1,36
2,2016-12-01,"16:30","B","Wet/Damp",4,1,9,2,2,1,29
2,2016-12-01,"16:30","B","Wet/Damp",4,1,9,1,2,1,39
2,2016-12-01,"16:30","B","Wet/Damp",4,1,9,1,2,1,29
1,2016-12-02,"09:04","U","Dry",1,1,9,3,3,2,72
2,2016-12-02,"15:11","A","Dry",1,1,9,1,3,1,43
1,2016-12-03,"08:36","B","Wet/Damp",1,1,8,1,3,1,38
2,2016-12-04,"11:34","A","Wet/Damp",1,1,9,2,3,2,33
1,2016-12-04,"13:30","U","Dry",1,1,9,1,1,1,80
1,2016-12-06,"11:15","U","Dry",1,1,9,3,3,2,82
2,2016-12-07,"18:00","U","Dry",4,1,9,1,3,2,38
2,2016-12-08,"18:15","U","Dry",4,1,1,1,3,1,29
2,2016-12-08,"16:15","M","Wet/Damp",4,7,9,2,2,1,36
1,2016-12-08,"18:29","U","Dry",4,1,9,3,3,1,21
2,2016-12-08,"20:58","U","Dry",4,1,9,1,3,2,35
2,2016-12-08,"20:58","U","Dry",4,1,9,2,3,2,49
2,2016-12-08,"20:58","U","Dry",4,1,9,2,3,2,7
2,2016-12-08,"20:58","U","Dry",4,1,9,2,3,1,18
1,2016-12-09,"20:45","A","Wet/Damp",4,1,9,1,3,1,43
2,2016-12-11,"21:15","U","Wet/Damp",4,1,9,1,3,2,51
2,2016-12-11,"21:15","U","Wet/Damp",4,1,9,2,3,2,45
1,2016-12-12,"13:18","U","Dry",1,1,9,3,2,2,72
3,2016-12-14,"20:39","A","Dry",4,1,9,1,1,1,29
3,2016-12-15,"16:09","M","Dry",4,1,9,1,3,1,53
2,2016-12-14,"18:00","U","Dry",4,1,9,2,3,2,59
2,2016-12-16,"17:30","A","Dry",4,1,5,1,3,1,50
1,2016-12-16,"22:38","U","Dry",4,1,9,3,3,1,15
2,2016-12-18,"04:05","A","Dry",4,1,8,1,3,1,32
2,2016-12-18,"17:00","A","Dry",4,1,5,1,3,1,33
1,2016-12-19,"10:00","M","Dry",1,1,9,1,3,2,34
2,2016-12-19,"16:43","A","Wet/Damp",4,1,3,1,3,1,17
2,2016-12-19,"17:10","A","Wet/Damp",4,1,3,1,3,1,17
1,2016-12-22,"15:55","A","Dry",1,1,8,3,3,1,82
2,2016-12-23,"18:00","U","Wet/Damp",4,5,9,1,3,1,22
1,2016-12-23,"20:50","A","Wet/Damp",4,2,8,3,2,1,26
2,2016-12-24,"13:25","U","Wet/Damp",1,2,9,1,3,2,43
2,2016-12-24,"13:25","U","Wet/Damp",1,2,9,2,3,1,15
2,2016-12-26,"23:04","U","Dry",4,1,8,2,2,2,26
2,2016-12-26,"23:04","U","Dry",4,1,8,1,2,1,66
4,2016-12-31,"23:46","U","Wet/Damp",4,2,9,1,3,1,27
3,2015-01-04,"12:00","A","Wet/Damp",1,1,1,1,3,1,18
3,2015-01-04,"12:00","A","Wet/Damp",1,1,1,1,3,1,19
1,2015-01-06,"11:30","U","Wet/Damp",1,2,8,2,3,1,2
1,2015-01-07,"08:48","U","Wet/Damp",1,1,21,1,2,1,64
2,2015-01-07,"08:26","U","Wet/Damp",1,1,9,1,3,1,29
2,2015-01-09,"23:35","A","Frost/Ice",1,1,9,1,2,1,64
2,2015-01-10,"23:30","A","Wet/Damp",4,5,9,1,3,1,44
2,2015-01-11,"11:10","U","Frost/Ice",4,6,9,2,3,2,44
2,2015-01-11,"11:10","U","Frost/Ice",4,6,9,2,3,2,22
2,2015-01-11,"11:10","U","Frost/Ice",4,6,9,2,3,1,8
2,2015-01-11,"11:10","U","Frost/Ice",4,6,9,2,3,2,20
2,2015-01-11,"14:30","U","Wet/Damp",1,1,9,1,3,1,18
2,2015-01-12,"11:18","M","Wet/Damp",1,5,9,1,3,1,30
2,2015-01-12,"11:18","M","Wet/Damp",1,5,9,1,3,2,32
2,2015-01-14,"15:57","U","Wet/Damp",1,1,9,2,3,2,83
2,2015-01-14,"15:57","U","Wet/Damp",1,1,8,1,3,1,42
2,2015-01-14,"15:57","U","Wet/Damp",1,1,8,2,3,2,20
2,2015-01-14,"15:57","U","Wet/Damp",1,1,9,1,2,1,82
1,2015-01-15,"16:15","U","Dry",1,1,9,3,2,2,13
1,2015-01-15,"15:15","U","Wet/Damp",1,2,9,3,3,1,66
2,2015-01-17,"06:10","A","Wet/Damp",4,1,9,1,3,2,44
2,2015-01-17,"06:10","A","Wet/Damp",4,1,9,1,3,1,38
3,2015-01-20,"08:30","M","Wet/Damp",1,8,9,1,3,1,29
3,2015-01-20,"08:30","M","Wet/Damp",1,8,9,1,3,2,29
2,2015-01-21,"13:28","U","Snow",1,3,9,1,3,2,26
2,2015-01-23,"18:25","U","Wet/Damp",4,5,9,1,2,2,34
2,2015-01-23,"18:25","U","Wet/Damp",4,5,9,1,3,2,27
2,2015-01-23,"18:25","U","Wet/Damp",4,5,9,2,3,2,NA
3,2015-01-26,"11:12","U","Dry",1,1,9,1,3,2,45
1,2015-01-26,"15:00","A","Dry",1,1,9,3,3,1,57
1,2015-01-27,"16:37","B","Dry",4,1,9,1,3,1,18
1,2015-01-27,"16:37","B","Dry",4,1,9,2,3,1,17
1,2015-01-27,"16:37","B","Dry",4,1,9,2,3,1,16
1,2015-01-28,"16:04","B","Wet/Damp",1,4,9,3,3,2,13
1,2015-01-28,"16:04","B","Wet/Damp",1,4,9,3,3,2,37
1,2015-01-28,"17:35","U","Wet/Damp",4,5,9,3,3,1,16
2,2015-01-30,"10:00","B","Wet/Damp",1,1,1,1,2,1,50
2,2015-01-31,"09:55","A","Dry",1,1,9,1,3,1,45
2,2015-01-31,"09:55","A","Dry",1,1,9,1,3,2,64
1,2015-01-31,"11:45","U","Snow",1,1,9,3,3,1,79
2,2015-02-04,"13:10","A","Dry",1,1,1,1,3,1,23
1,2015-02-05,"15:25","A","Dry",1,1,9,1,3,2,68
1,2015-02-06,"12:15","U","Dry",1,1,20,3,3,2,69
3,2015-02-06,"22:57","A","Dry",1,1,9,1,3,1,48
1,2015-02-08,"01:30","B","Wet/Damp",4,1,9,1,3,1,40
3,2015-02-08,"10:34","A","Dry",1,1,9,2,3,2,7
3,2015-02-08,"10:34","A","Dry",1,1,9,2,3,1,3
3,2015-02-08,"10:34","A","Dry",1,1,9,2,3,2,36
3,2015-02-08,"10:34","A","Dry",1,1,9,1,3,1,42
2,2015-02-08,"10:50","A","Dry",1,1,9,1,3,1,47
1,2015-02-09,"10:05","U","Dry",1,1,9,3,3,1,85
3,2015-02-09,"11:41","A","Dry",1,1,9,1,2,2,66
3,2015-02-09,"11:41","A","Dry",1,1,9,2,3,1,67
2,2015-02-11,"14:28","U","Dry",1,1,9,1,3,1,33
1,2015-02-13,"11:09","M","Wet/Damp",1,1,21,1,3,1,28
4,2015-02-14,"20:30","A","Wet/Damp",4,1,9,2,1,2,44
4,2015-02-14,"20:30","A","Wet/Damp",4,1,9,1,2,1,34
4,2015-02-14,"20:30","A","Wet/Damp",4,1,9,1,3,1,46
4,2015-02-14,"20:30","A","Wet/Damp",4,1,9,2,3,2,52
4,2015-02-14,"20:30","A","Wet/Damp",4,1,9,2,3,2,14
4,2015-02-14,"20:30","A","Wet/Damp",4,1,9,2,3,1,15
2,2015-02-16,"10:30","A","Dry",1,1,9,1,3,1,68
2,2015-02-16,"12:39","A","Dry",1,1,9,1,3,2,34
2,2015-02-16,"19:15","M","Dry",4,1,9,1,3,2,47
2,2015-02-17,"15:55","A","Dry",1,1,3,1,3,1,29
1,2015-02-18,"15:05","U","Dry",1,1,9,3,3,2,76
2,2015-02-18,"18:20","U","Dry",4,1,9,1,3,2,39
1,2015-02-21,"13:35","U","Dry",1,1,9,3,2,2,76
2,2015-02-25,"08:15","U","Dry",1,1,9,1,3,2,36
2,2015-02-27,"08:40","A","Dry",1,1,9,1,3,1,45
2,2015-02-27,"08:40","A","Dry",1,1,9,1,3,2,45
2,2015-02-27,"15:15","U","Dry",1,1,9,1,3,1,48
3,2015-02-27,"21:20","A","Dry",7,1,9,1,3,2,45
1,2015-02-28,"16:54","A","Wet/Damp",1,2,9,1,3,1,22
1,2015-02-28,"16:54","A","Wet/Damp",1,2,9,2,3,2,14
3,2015-03-02,"07:40","U","Frost/Ice",1,6,9,3,3,2,42
2,2015-02-27,"17:00","B","Dry",1,1,9,1,3,2,58
2,2015-03-05,"07:25","A","Dry",1,1,1,1,3,1,27
3,2015-03-06,"15:26","U","Dry",1,1,9,2,3,2,5
1,2015-03-07,"15:00","A","Dry",1,1,9,3,2,2,61
1,2015-03-07,"17:41","U","Dry",4,1,9,3,3,1,9
2,2015-03-07,"21:53","A","Dry",4,1,9,2,2,2,25
2,2015-03-08,"16:10","U","Dry",1,1,9,1,3,2,57
1,2015-03-09,"09:40","U","Dry",1,1,9,3,3,2,70
2,2015-03-10,"07:13","A","Dry",1,1,3,1,3,1,42
3,2015-03-10,"11:54","A","Dry",1,1,9,1,2,1,82
1,2015-03-10,"13:50","U","Dry",1,1,9,3,3,1,20
1,2015-03-02,"15:15","B","Wet/Damp",1,1,9,3,3,2,29
2,2015-03-11,"12:45","A","Wet/Damp",1,2,9,1,3,2,51
3,2015-03-13,"08:45","M","Wet/Damp",1,1,9,1,3,2,23
2,2015-03-13,"08:55","A","Wet/Damp",1,2,9,2,3,2,10
2,2015-03-13,"16:45","A","Dry",1,1,9,2,3,1,10
1,2015-03-15,"11:15","A","Dry",1,1,1,1,3,1,49
2,2015-03-15,"12:51","U","Dry",1,1,9,1,3,2,32
2,2015-03-15,"12:51","U","Dry",1,1,9,2,3,1,4
2,2015-03-15,"21:00","A","Wet/Damp",4,2,9,3,1,1,48
2,2015-03-16,"10:30","M","Dry",1,1,9,1,3,2,34
1,2015-03-18,"19:10","U","Dry",4,1,9,3,3,2,18
2,2015-03-20,"08:57","U","Dry",1,1,4,1,2,1,22
2,2015-03-20,"08:57","U","Dry",1,1,9,1,3,2,36
2,2015-03-20,"11:40","U","Dry",1,1,9,1,2,1,71
1,2015-03-21,"17:54","A","Dry",1,1,9,3,3,1,32
2,2015-03-23,"13:43","A","Dry",1,1,4,1,2,1,55
2,2015-03-23,"15:45","A","Dry",1,1,4,1,3,1,61
1,2015-03-23,"16:58","A(M)","Dry",1,1,9,3,3,2,12
2,2015-03-24,"08:15","U","Dry",1,1,1,1,3,1,17
1,2015-03-24,"08:35","A","Dry",1,1,9,3,3,1,84
2,2015-03-25,"16:20","A","Dry",1,1,1,1,3,1,49
2,2015-03-27,"16:15","U","Dry",1,1,9,1,3,1,24
3,2015-03-28,"13:52","A","Wet/Damp",1,1,9,1,3,1,40
1,2015-03-28,"19:00","A","Wet/Damp",4,2,9,3,2,1,46
1,2015-03-29,"10:05","U","Wet/Damp",1,2,1,1,2,1,66
1,2015-03-29,"21:30","U","Dry",4,1,9,3,3,2,23
1,2015-03-30,"19:55","U","Wet/Damp",6,5,9,1,3,1,65
1,2015-03-31,"00:10","M","Flood",4,5,9,2,3,2,54
1,2015-03-31,"17:20","A","Wet/Damp",1,2,8,3,3,2,37
2,2015-04-01,"08:10","A","Wet/Damp",1,2,5,1,3,1,45
2,2015-04-01,"12:40","U","Wet/Damp",1,1,9,2,3,2,29
2,2015-04-01,"12:40","U","Wet/Damp",1,1,9,1,3,2,67
2,2015-04-01,"14:43","A","Wet/Damp",1,2,9,1,3,2,84
1,2015-04-02,"12:34","A","Dry",1,1,9,2,3,1,24
1,2015-04-03,"21:00","A","Dry",4,1,9,3,2,1,48
1,2015-04-04,"14:25","U","Dry",1,1,9,3,2,1,3
2,2015-04-04,"18:13","U","Dry",1,1,90,1,2,1,32
2,2015-04-04,"22:15","A","Dry",4,1,3,1,2,1,25
1,2015-04-05,"13:15","U","Dry",1,1,9,3,3,1,30
2,2015-04-07,"16:19","B","Dry",1,1,1,1,2,2,19
2,2015-04-08,"14:30","A","Dry",1,1,1,1,3,2,9
2,2015-04-09,"12:48","U","Dry",1,1,9,1,3,2,35
2,2015-04-09,"12:48","U","Dry",1,1,9,2,3,1,27
1,2015-04-09,"14:31","U","Dry",1,1,9,3,2,1,8
1,2015-04-10,"02:55","A","Dry",4,1,9,1,3,2,25
1,2015-04-10,"02:55","A","Dry",4,1,9,2,3,1,23
1,2015-04-10,"02:55","A","Dry",4,1,9,2,3,2,24
2,2015-04-13,"07:25","A","Dry",1,1,3,1,3,1,18
2,2015-04-13,"15:10","B","Dry",1,1,1,1,3,1,51
2,2015-04-14,"16:17","A","Dry",1,1,9,1,3,1,32
2,2015-04-13,"17:30","U","Dry",1,1,90,1,3,1,10
2,2015-04-17,"07:19","A","Dry",1,1,2,1,3,2,28
2,2015-04-17,"15:36","A","Dry",1,1,9,1,3,1,39
2,2015-04-20,"07:44","B","Dry",1,1,9,1,3,2,24
2,2015-04-20,"08:00","A","Dry",1,1,1,1,3,1,28
1,2015-04-21,"15:55","B","Dry",1,1,9,3,3,1,13
2,2015-04-22,"15:27","U","Dry",1,1,9,1,3,1,27
2,2015-04-23,"07:45","A","Dry",1,1,9,1,3,2,31
2,2015-04-25,"09:20","U","Wet/Damp",1,2,3,1,3,2,17
2,2015-04-26,"00:09","A","Dry",4,1,9,1,3,1,25
2,2015-04-26,"00:09","A","Dry",4,1,8,2,3,2,32
2,2015-04-26,"00:09","A","Dry",4,1,8,1,3,1,34
2,2015-04-26,"00:09","A","Dry",4,1,9,2,3,2,32
3,2015-04-26,"15:00","A","Dry",1,1,9,2,3,2,22
3,2015-04-26,"15:00","A","Dry",1,1,9,2,3,2,20
1,2015-04-27,"14:25","U","Dry",1,1,3,1,3,1,29
2,2015-04-27,"16:44","A","Dry",1,1,1,1,3,1,16
2,2015-04-27,"16:00","U","Dry",1,1,1,1,3,1,19
1,2015-05-01,"00:55","A","Dry",4,1,9,1,3,1,23
1,2015-05-01,"00:55","A","Dry",4,1,9,2,3,2,23
1,2015-05-01,"18:40","A","Dry",1,1,9,2,3,2,19
1,2015-05-01,"18:40","A","Dry",1,1,9,1,3,2,20
1,2015-05-02,"11:45","U","Wet/Damp",1,2,9,3,3,2,64
2,2015-05-03,"07:20","M","Wet/Damp",1,2,19,1,3,1,30
2,2015-05-03,"09:36","A","Wet/Damp",1,2,9,2,3,2,43
2,2015-05-03,"10:34","A","Wet/Damp",1,2,9,1,3,2,31
2,2015-05-03,"11:26","A","Dry",1,1,9,1,3,1,22
2,2015-05-03,"11:26","A","Dry",1,1,9,1,3,1,20
2,2015-05-03,"17:49","B","Dry",1,1,3,1,3,1,32
2,2015-05-04,"01:22","U","Dry",4,1,9,1,3,1,22
2,2015-05-04,"01:22","U","Dry",4,1,8,1,3,1,42
2,2015-05-07,"00:46","U","Dry",4,1,3,1,3,1,19
2,2015-05-08,"16:40","A","Dry",1,1,9,1,3,2,24
2,2015-05-08,"21:02","U","Wet/Damp",1,5,9,1,3,1,41
2,2015-05-09,"22:50","A","Dry",1,1,1,1,3,1,43
2,2015-05-09,"23:25","A","Dry",7,1,9,1,3,2,60
2,2015-05-10,"14:15","U","Dry",1,1,1,1,3,1,48
3,2015-05-11,"17:33","M","Dry",1,1,9,1,3,2,25
3,2015-05-11,"17:33","M","Dry",1,1,9,1,3,2,39
2,2015-05-13,"12:33","U","Dry",1,1,9,3,3,1,74
2,2015-05-14,"06:40","A","Dry",1,1,1,1,3,1,14
3,2015-05-14,"10:15","U","Dry",1,1,9,1,3,2,53
2,2015-05-16,"08:30","U","Dry",1,1,9,1,1,1,81
2,2015-05-16,"08:30","U","Dry",1,1,9,1,3,1,45
1,2015-05-15,"16:20","U","Dry",1,1,9,3,2,1,11
1,2015-05-16,"14:56","U","Dry",1,1,90,2,2,1,2
1,2015-05-16,"19:05","U","Dry",1,1,9,3,3,1,8
2,2015-05-17,"13:00","A","Dry",1,1,9,2,3,1,29
2,2015-05-17,"13:00","A","Dry",1,1,9,1,3,1,39
1,2015-05-19,"15:19","U","Dry",1,1,9,3,3,1,66
3,2015-05-21,"16:10","B","Dry",1,1,9,1,3,1,18
3,2015-05-21,"16:10","B","Dry",1,1,9,2,3,1,19
3,2015-05-21,"16:10","B","Dry",1,1,9,2,3,2,17
3,2015-05-21,"16:10","B","Dry",1,1,9,1,3,2,54
3,2015-05-21,"16:10","B","Dry",1,1,9,1,3,1,44
3,2015-05-23,"11:45","A","Dry",1,1,5,1,2,1,27
1,2015-05-25,"02:00","U","Dry",1,1,8,3,3,1,25
3,2015-05-26,"08:00","A","Dry",1,1,9,1,3,1,21
1,2015-05-26,"14:21","A","Dry",1,1,3,1,3,1,23
2,2015-05-27,"13:00","U","Dry",1,1,9,1,3,1,23
2,2015-05-27,"13:00","U","Dry",1,1,9,2,3,2,18
2,2015-05-28,"19:15","U","Dry",1,1,9,1,3,1,57
2,2015-05-29,"19:08","U","Dry",1,1,9,1,3,1,34
1,2015-05-31,"01:50","U","Wet/Damp",6,2,8,3,3,1,19
2,2015-05-02,"12:15","A","Dry",1,1,5,1,3,1,53
5,2015-06-01,"06:00","M","Dry",1,1,9,1,3,1,53
5,2015-06-01,"06:00","M","Dry",1,1,9,1,3,1,23
3,2015-06-01,"17:05","U","Wet/Damp",1,2,9,1,3,1,19
3,2015-06-01,"17:05","U","Wet/Damp",1,2,9,1,3,1,20
4,2015-06-01,"19:00","A","Wet/Damp",1,5,9,1,3,1,42
4,2015-06-01,"19:00","A","Wet/Damp",1,5,9,1,3,2,41
4,2015-06-01,"19:00","A","Wet/Damp",1,5,9,1,3,1,37
4,2015-06-01,"19:00","A","Wet/Damp",1,5,9,1,3,1,22
2,2015-06-02,"08:10","A","Dry",1,1,5,1,3,1,35
2,2015-06-04,"15:59","A","Dry",1,1,9,1,3,2,47
2,2015-06-04,"15:59","A","Dry",1,1,9,2,3,2,27
2,2015-06-04,"15:59","A","Dry",1,1,9,2,3,2,25
2,2015-06-04,"15:59","A","Dry",1,1,9,2,3,2,60
2,2015-06-04,"15:59","A","Dry",1,1,9,2,3,2,44
1,2015-06-05,"15:42","U","Dry",1,1,9,2,3,2,10
2,2015-06-05,"19:03","A","Dry",1,1,9,1,2,2,34
2,2015-06-05,"19:03","A","Dry",1,1,9,1,3,2,40
2,2015-05-31,"10:05","A","Dry",1,1,1,1,2,1,25
2,2015-06-08,"18:35","U","Dry",1,1,9,3,2,2,9
2,2015-06-08,"19:30","B","Dry",1,1,21,1,3,1,49
2,2015-06-09,"17:10","A","Dry",1,1,4,1,2,2,24
2,2015-06-09,"17:25","A","Dry",1,1,3,1,3,1,42
2,2015-06-10,"06:30","A","Dry",1,1,1,1,3,1,43
2,2015-06-12,"18:00","B","Dry",1,1,1,1,3,1,19
2,2015-06-13,"11:10","U","Dry",1,1,9,1,3,1,28
2,2015-06-13,"11:10","U","Dry",1,1,9,2,3,2,29
3,2015-06-13,"12:14","A","Dry",1,1,21,1,3,1,52
2,2015-06-13,"20:50","U","Dry",1,1,9,2,3,2,24
3,2015-06-15,"10:45","A","Dry",1,1,1,1,2,1,42
2,2015-06-16,"12:25","U","Dry",1,1,19,1,3,1,42
2,2015-06-16,"13:43","A","Dry",1,1,19,1,3,1,60
1,2015-06-16,"17:20","A","Dry",1,1,11,2,3,1,3
2,2015-06-17,"12:52","A","Wet/Damp",1,2,9,1,3,2,52
2,2015-06-17,"12:52","A","Wet/Damp",1,2,9,1,3,2,25
1,2015-06-17,"13:30","A","Wet/Damp",1,2,9,3,3,2,30
2,2015-06-18,"09:50","A","Dry",1,1,8,1,3,1,50
2,2015-06-18,"09:50","A","Dry",1,1,8,2,3,2,44
2,2015-06-18,"09:50","A","Dry",1,1,9,1,3,1,28
2,2015-06-18,"16:05","A","Dry",1,4,1,1,3,1,51
1,2015-06-18,"17:15","U","Dry",1,1,9,3,3,2,30
2,2015-06-20,"12:00","U","Wet/Damp",1,1,9,1,3,1,36
1,2015-06-20,"14:30","U","Dry",1,1,17,1,3,2,20
2,2015-06-20,"23:05","U","Dry",4,1,8,2,3,2,22
1,2015-06-22,"18:50","U","Dry",1,1,4,1,2,1,17
3,2015-06-23,"17:30","A","Dry",1,1,9,1,3,1,35
3,2015-06-23,"17:30","A","Dry",1,1,9,2,3,2,74
2,2015-06-25,"12:00","A","Dry",1,1,3,1,3,1,18
1,2015-06-25,"13:10","A","Dry",1,1,9,1,3,2,71
2,2015-06-25,"13:20","U","Dry",1,1,1,1,2,1,45
1,2015-06-26,"20:30","B","Dry",1,1,9,2,3,1,24
2,2015-06-27,"20:10","A","Dry",1,1,9,2,3,2,34
2,2015-06-27,"20:50","A","Dry",4,1,9,1,2,1,38
2,2015-06-27,"20:50","A","Dry",4,1,9,2,2,1,19
2,2015-06-27,"20:50","A","Dry",4,1,9,2,2,1,35
2,2015-06-27,"20:50","A","Dry",4,1,9,1,2,1,22
2,2015-06-27,"20:50","A","Dry",4,1,9,2,2,1,20
2,2015-06-27,"20:50","A","Dry",4,1,9,2,2,1,17
1,2015-06-28,"20:50","A","Dry",1,1,9,3,3,1,42
3,2015-06-28,"22:45","U","Dry",4,1,9,2,1,2,16
3,2015-06-28,"22:45","U","Dry",4,1,9,2,3,2,28
3,2015-06-28,"22:45","U","Dry",4,1,9,1,2,2,22
1,2015-06-30,"10:50","A","Dry",1,1,3,1,3,1,46
2,2015-06-30,"07:35","A","Dry",1,1,9,2,3,2,50
2,2015-06-30,"07:35","A","Dry",1,1,9,1,3,1,57
2,2015-06-30,"07:35","A","Dry",1,1,9,1,3,2,47
1,2015-07-01,"12:28","A","Dry",1,1,21,3,3,2,86
1,2015-07-01,"16:45","U","Dry",1,1,3,1,3,1,32
2,2015-07-01,"17:15","A","Dry",1,1,9,2,3,1,9
2,2015-07-02,"19:00","A","Dry",1,1,1,1,3,1,35
2,2015-07-02,"20:55","U","Dry",1,1,9,1,3,1,46
2,2015-07-02,"20:55","U","Dry",1,1,9,1,2,1,49
2,2015-07-03,"07:05","A","Dry",1,1,4,1,3,2,21
1,2015-07-03,"11:55","A","Dry",1,1,9,3,2,1,41
2,2015-07-05,"17:55","A","Dry",1,1,9,2,2,2,51
2,2015-07-05,"17:55","A","Dry",1,1,9,1,3,1,62
2,2015-07-05,"17:55","A","Dry",1,1,9,1,3,2,44
1,2015-07-06,"15:41","U","Dry",1,1,9,3,3,2,7
1,2015-07-07,"15:35","U","Dry",1,1,9,1,3,2,56
2,2015-07-07,"22:30","A","Wet/Damp",4,1,9,1,2,2,48
2,2015-07-07,"22:30","A","Wet/Damp",4,1,9,2,2,1,30
2,2015-07-07,"22:30","A","Wet/Damp",4,1,9,1,2,1,33
1,2015-07-08,"00:00","U","Wet/Damp",1,2,9,3,3,2,14
1,2015-07-08,"19:58","A","Dry",1,1,9,3,2,1,8
1,2015-07-03,"12:50","U","Dry",1,1,21,3,3,2,42
2,2015-07-10,"11:50","U","Dry",1,1,1,1,3,1,21
3,2015-07-10,"13:58","A","Dry",1,1,9,1,3,2,55
3,2015-07-10,"13:58","A","Dry",1,1,9,1,3,2,45
2,2015-07-12,"11:14","A","Dry",1,1,9,1,3,1,65
2,2015-07-13,"15:17","A","Dry",1,1,9,1,3,1,37
2,2015-07-13,"15:17","A","Dry",1,1,9,1,2,2,65
2,2015-07-13,"16:35","M","Dry",1,1,9,1,3,2,47
2,2015-07-14,"13:27","U","Dry",1,1,9,1,3,2,25
