"Number_of_Vehicles","Accident_Date","Time_24hr_","First_Road_Class","Road_Surface","Lighting_Conditions","Weather_Conditions","Type_of_Vehicle","Casualty_Class","Casualty_Severity","Sex_of_Casualty","Age_of_Casualty"
1,2017-06-06,"14:30","M","Wet",1,5,9,1,3,2,23
2,2017-06-06,"14:53","U","Dry",1,5,9,1,3,2,18
2,2017-05-25,"12:10","A","Dry",1,1,9,1,3,1,75
1,2017-06-13,"13:55","U","Dry",1,1,9,3,3,1,65
2,2017-06-13,"16:28","U","Dry",1,1,9,1,3,2,63
4,2017-06-15,"13:41","M","Dry",1,1,9,2,3,1,71
2,2017-06-16,"16:30","U","Dry",1,1,9,1,3,1,84
3,2017-06-16,"22:30","B","Dry",4,1,9,1,3,1,38
2,2017-06-19,"16:30","U","Dry",1,1,9,1,3,1,71
2,2017-06-20,"07:13","A","Dry",7,1,9,2,3,2,30
2,2017-06-20,"07:52","A","Dry",1,1,4,1,3,1,NA
2,2017-06-20,"16:00","M","Dry",1,1,9,1,3,2,38
2,2017-06-20,"18:26","M","Dry",7,1,19,1,3,1,20
1,2017-06-21,"17:50","U","Dry",7,1,9,1,3,1,19
1,2017-06-22,"16:56","A","Dry",1,1,9,3,1,1,57
3,2017-06-23,"20:23","A","Wet",7,1,9,1,3,1,26
2,2017-06-23,"21:25","A","Dry",7,1,9,2,3,2,38
1,2017-06-24,"10:32","B","Dry",1,1,9,3,2,1,64
2,2017-06-24,"11:57","A","Dry",1,1,9,1,3,2,58
1,2017-06-24,"12:00","A","Dry",1,1,9,3,2,1,93
1,2017-06-24,"19:00","U","Dry",7,1,9,3,3,1,13
1,2017-06-24,"20:56","U","Dry",7,1,9,3,3,2,14
2,2017-06-26,"14:32","U","Dry",1,1,9,1,3,2,30
3,2017-06-28,"07:21","M","Wet",7,2,9,1,3,1,25
2,2017-06-29,"18:00","U","Dry",7,1,9,1,3,1,7
3,2017-06-29,"12:15","A","Wet",1,2,9,1,3,1,6
2,2017-06-29,"16:40","A","Dry",1,1,1,1,3,1,49
2,2017-07-01,"13:30","A","Dry",1,1,9,1,2,1,23
2,2017-07-01,"16:36","A","Dry",1,1,9,1,2,1,48
2,2017-07-02,"17:32","A","Dry",7,1,1,1,3,1,39
1,2017-07-02,"15:20","U","Dry",1,1,9,3,3,1,10
2,2017-07-02,"22:36","A","Dry",4,1,9,1,3,2,30
2,2017-07-03,"22:00","U","Dry",7,1,19,1,3,1,43
1,2017-07-07,"13:41","U","Dry",1,1,8,3,3,1,41
2,2017-07-07,"23:00","U","Dry",4,1,9,1,3,1,20
2,2017-07-08,"11:51","U","Dry",1,1,9,2,3,2,44
3,2017-07-08,"12:07","B","Dry",1,1,9,1,3,1,54
2,2017-07-08,"19:15","U","Dry",7,8,9,1,3,2,40
1,2017-07-08,"19:50","U","Dry",7,1,9,3,3,2,3
2,2017-07-08,"21:40","U","Dry",7,1,3,1,3,1,18
2,2017-07-09,"16:10","U","Dry",1,1,1,1,3,1,14
1,2017-07-09,"16:42","U","Dry",1,1,19,3,3,2,5
2,2017-07-10,"19:26","U","Dry",7,1,9,2,3,2,18
1,2017-07-10,"19:31","U","Dry",7,1,9,3,3,1,4
2,2017-07-13,"09:07","U","Dry",1,1,9,1,3,2,35
1,2017-07-15,"15:10","U","Dry",1,1,9,3,3,1,14
